probe,logFC,AveExpr,t,P.Value,adj.P.Val,B,gds,type
210755_at,-0.191905189593217,2.5706318806622,-4.6063306116437,9.1179886564297e-05,0.0778946921547334,1.38309887932651,GDS4358,lo
230762_at,-0.123025770829893,2.90170512357901,-4.59824534418393,9.31643853211317e-05,0.0783655810374288,1.36448023032801,GDS4358,lo
217173_s_at,-0.128599805807763,2.73187893587084,-4.58646655299581,9.61327427017293e-05,0.0796372379881371,1.33735591056636,GDS4358,lo
206999_at,-0.190659530432399,2.396165465544,-4.5741847447874,9.93282821529868e-05,0.0807340804543398,1.30907310260093,GDS4358,lo
213456_at,-0.446862794901702,2.61037626085645,-4.56141108452751,0.000102764118337155,0.0807340804543398,1.27965776068329,GDS4358,lo
228113_at,-0.251494530860369,2.84913186545403,-4.55376756550467,0.000104876417621477,0.0807340804543398,1.26205633964924,GDS4358,lo
238141_s_at,-0.132741876222166,2.68252505013819,-4.54664757342768,0.000106882925782956,0.0807340804543398,1.2456606694998,GDS4358,lo
242502_at,-0.256437022379476,2.18977871337081,-4.54569481233778,0.000107154311163628,0.0807340804543398,1.24346670013831,GDS4358,lo
216275_at,-0.182242712595253,2.78074297710605,-4.53478441280455,0.000110311396719036,0.0807340804543398,1.21834311196642,GDS4358,lo
209975_at,-0.179913507404736,2.90748052374983,-4.53305830664274,0.000110819288173741,0.0807340804543398,1.21436843453884,GDS4358,lo
1566656_a_at,-0.133230255277746,2.56830191278917,-4.52617321918552,0.000112868436781195,0.0807340804543398,1.19851444326913,GDS4358,lo
241599_at,-0.240163063175814,2.49347326377453,-4.52574939682068,0.00011299580090475,0.0807340804543398,1.19753853656672,GDS4358,lo
215621_s_at,-0.162135002096885,2.78215353063581,-4.52155260486527,0.000114264740997433,0.0807340804543398,1.1878749429711,GDS4358,lo
1568812_at,0.180210736013952,2.69321527320005,4.51907709623931,0.000115019876617347,0.0807340804543398,1.18217486473529,GDS4358,up
215376_at,0.136992765040209,2.72928650003712,4.51806472264484,0.000115330123165338,0.0807340804543398,1.17984379892667,GDS4358,up
204765_at,-0.150176722806452,2.82541087043771,-4.51377883208208,0.000116652809435626,0.0807340804543398,1.16997531122837,GDS4358,lo
223704_s_at,0.190074241400232,2.48815005099313,4.50809073024136,0.000118431584639964,0.0809405861273756,1.15687841116466,GDS4358,up
233843_at,-0.148789578158295,2.72953269261057,-4.49656159984654,0.000122120194878654,0.0824194295740179,1.13033347774518,GDS4358,lo
1568682_a_at,0.165760642486951,2.59907584983414,4.49200210768782,0.000123610301327288,0.0824194295740179,1.11983599828635,GDS4358,up
1561650_s_at,-0.160896410075273,2.43078418752131,-4.48139335178643,0.000127147783902212,0.0833688919079709,1.09541206144332,GDS4358,lo
1556332_at,-0.150821108947954,2.73720193974191,-4.46837017862127,0.000131628336479756,0.0833688919079709,1.06543161628871,GDS4358,lo
207342_at,-0.362127221280321,2.47532399551225,-4.46824245589639,0.000131673047588331,0.0833688919079709,1.06513759999731,GDS4358,lo
240047_at,-0.216732050133153,2.52326413544321,-4.46803262890237,0.000131746533229735,0.0833688919079709,1.06465458112921,GDS4358,lo
203510_at,-0.251020761628815,2.84973445911563,-4.46020956494186,0.000134515634662418,0.0833688919079709,1.04664648362234,GDS4358,lo
1563130_a_at,0.236977166354942,2.5124630258595,4.45738617955115,0.00013552916961389,0.0833688919079709,1.04014750685368,GDS4358,up
207589_at,-0.302468815514182,2.3370336852552,-4.45632515344466,0.000135912015485522,0.0833688919079709,1.03770523050537,GDS4358,lo
239490_at,-0.120502621597921,2.86186609856695,-4.44811738398881,0.000138910158351226,0.0833688919079709,1.01881319042781,GDS4358,lo
224263_x_at,-0.149803548762736,2.61239633474146,-4.44708874519444,0.00013929050833814,0.0833688919079709,1.01644562924179,GDS4358,lo
237708_at,-0.160729884253251,2.70935406432114,-4.44206455788655,0.000141163186648434,0.0833688919079709,1.00488201332103,GDS4358,lo
206595_at,-0.16956893933246,2.45291548945879,-4.44035212600276,0.000141807168677481,0.0833688919079709,1.00094080629824,GDS4358,lo
220025_at,-0.505168114919896,2.74256328264517,-4.43156384517213,0.000145158356006856,0.0844312033476051,0.980715244314887,GDS4358,lo
211099_s_at,-0.207476774643685,2.63042085263078,-4.418451408663,0.000150305338536701,0.0855000718548444,0.95054092063301,GDS4358,lo
1558484_s_at,-0.142532824418431,2.85748500799083,-4.41095132321137,0.000153330444616445,0.0855000718548444,0.933283432242678,GDS4358,lo
1553007_a_at,-0.185990078760566,2.45096504288429,-4.40893308515897,0.000154154766483994,0.0855000718548444,0.928639744166111,GDS4358,lo
233871_at,-0.25985413137203,2.56673755494672,-4.40647880697992,0.000155163118307312,0.0855000718548444,0.922992917573436,GDS4358,lo
205020_s_at,-0.165647531811582,3.10896917959523,-4.40636120177964,0.000155211601161925,0.0855000718548444,0.922722334020177,GDS4358,lo
216026_s_at,-0.163266616334183,2.8366244259644,-4.403541044936,0.0001563787322448,0.0855000718548444,0.916233876886957,GDS4358,lo
1562300_at,-0.166947527344216,2.36795116317836,-4.39113658351606,0.000161616747463763,0.0874890660156556,0.887696744065646,GDS4358,lo
240806_at,-0.204737957226816,2.96908077871474,-4.38463448318717,0.000164431625516803,0.0881401875012864,0.872739905720842,GDS4358,lo
1555407_s_at,-0.156264355175843,2.32751258085113,-4.37871416930587,0.000167036963880512,0.0886674368948252,0.859122354203673,GDS4358,lo
230448_at,-0.121580431935811,2.69271918280861,-4.37128745013759,0.000170363260806193,0.0888393704881286,0.842041253281351,GDS4358,lo
1560656_at,-0.11937521607857,2.48220426704058,-4.3672439138767,0.000172201857903106,0.0888393704881286,0.832741984173764,GDS4358,lo
239504_at,0.137274352708054,2.761457437489,4.36335352208519,0.000173989412406625,0.0888393704881286,0.823795373521801,GDS4358,up
1555766_a_at,-0.238624413872449,2.49386755189693,-4.36219881775994,0.000174523511912294,0.0888393704881286,0.821140024518486,GDS4358,lo
1562414_at,-0.202172121376888,2.62655212274514,-4.35725671619775,0.000176827894277602,0.0888393704881286,0.809775668751095,GDS4358,lo
203309_s_at,-0.152972094188982,2.88281103297964,-4.35665601184877,0.000177110039016114,0.0888393704881286,0.808394401551047,GDS4358,lo
234915_s_at,-0.303343521150267,2.45651499199834,-4.34809770572971,0.000181178663003309,0.0900472752894097,0.788716566754638,GDS4358,lo
241934_at,-0.119993116415926,2.80203846278115,-4.34471548901343,0.000182812026650653,0.0900472752894097,0.780940598850585,GDS4358,lo
1554274_a_at,-0.16572210527102,2.45899244845974,-4.34109683779157,0.00018457575538004,0.0901042805839613,0.772621469845707,GDS4358,lo
241154_x_at,-0.121069690792102,2.85443486179657,-4.3038127296077,0.000203760574710542,0.0980524042398821,0.686933795940348,GDS4358,lo
1561055_at,-0.25655750215715,2.4012883251148,-4.30254975531302,0.000204443970431579,0.0980524042398821,0.684032095120446,GDS4358,lo
1562219_at,-0.204097438660687,2.62395664504673,-4.29486349776722,0.000208652286636702,0.0983302313058736,0.666374182009811,GDS4358,lo
205153_s_at,-0.145532606160226,2.66971529362216,-4.29439831847829,0.000208909716503292,0.0983302313058736,0.665305585467197,GDS4358,lo
1554004_a_at,-0.176911164688235,2.45526865296763,-4.28598819139266,0.000213618561592861,0.0983302313058736,0.645987617921128,GDS4358,lo
220570_at,-0.129676772464903,2.52683837751498,-4.28264126868592,0.000215521644935807,0.0983302313058736,0.638300595897739,GDS4358,lo
243637_at,-0.15982146225789,2.57680042919022,-4.28173815813497,0.000216038032852648,0.0983302313058736,0.636226464283291,GDS4358,lo
217999_s_at,-0.250886940530385,2.68816284612979,-4.27955282452071,0.000217292660814136,0.0983302313058736,0.631207655426933,GDS4358,lo
209960_at,-0.390489039488463,2.4324756130413,-4.27899789636284,0.000217612400329414,0.0983302313058736,0.62993324726278,GDS4358,lo
227752_at,-0.161965538140791,2.39552522302291,-4.27407451788246,0.000220469661485897,0.0985106435319285,0.618627154212501,GDS4358,lo
240784_at,-0.237194437741114,2.76329450610607,-4.27017502666524,0.000222759075710545,0.0985106435319285,0.609673079476222,GDS4358,lo
1555716_a_at,-0.16700794796192,2.46124843392687,-4.26906189394966,0.000223416914457414,0.0985106435319285,0.607117209850606,GDS4358,lo
217004_s_at,-0.300792476850629,2.72453199063126,-4.25909843978539,0.000229391507164761,0.100335845233866,0.584242562219986,GDS4358,lo
1555952_at,-0.180981568016993,2.65618036435214,-4.25197985063544,0.000233756870739154,0.101433784981454,0.567902113312405,GDS4358,lo
237932_at,-0.0929468931179958,2.37338926879172,-4.247596320702,0.000236485841886065,0.101713143017563,0.557841077673358,GDS4358,lo
220318_at,-0.213798325278664,2.59413703445821,-4.24499323840608,0.000238121304183778,0.101713143017563,0.551866944072157,GDS4358,lo
230455_at,-0.236764837688934,2.59360059166424,-4.23473711181284,0.000244674759080389,0.102464027977617,0.528332118135447,GDS4358,lo
230216_at,-0.163374472417194,2.54608075439516,-4.23386563324773,0.000245239781178569,0.102464027977617,0.526332568698773,GDS4358,lo
219125_s_at,-0.148997055142943,2.85666281239842,-4.23346282984196,0.000245501374761185,0.102464027977617,0.525408376025974,GDS4358,lo
215572_at,-0.154971330473102,2.30291395321359,-4.2247921000797,0.000251199902425315,0.102729743893769,0.505516235898463,GDS4358,lo
244521_at,-0.284671341843037,2.50385784975482,-4.22130681168213,0.00025352721404665,0.102729743893769,0.497521474777149,GDS4358,lo
